
April 13th 09:41:

train with FocalLoss+ weight, dropput 0.2:

[c-xwu000:OvarianCancer]#/home/hxie1/anaconda3/bin/python  /home/hxie1/Projects/OvarianCancer/TrainSegV.py /home/hxie1/temp_netParameters/OvarianCancer /home/hxie1/data/OvarianCancerCT/Extract_uniform/trainImages /home/hxie1/data/OvarianCancerCT/Extract_uniform/trainLabels

Program starting Time:  2019-04-12 16:31:54.787057
Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer

Building the Segmented Slice Tuple list, please waiting......
Directory of /home/hxie1/data/OvarianCancerCT/Extract_uniform/trainLabels has 441 segmented slices.
Input:  batchSize=64, depth=21, height=281, width=281, NumClassfication=4

Building the Segmented Slice Tuple list, please waiting......
Directory of /home/hxie1/data/OvarianCancerCT/Extract_uniform/testLabels has 141 segmented slices.
Input:  batchSize=64, depth=21, height=281, width=281, NumClassfication=4

Network has total 12854479 parameters.
Info: network dropout rate = 0.2
Network trains from scratch.

====================Net Architecture===========================
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv3d-1      [-1, 32, 9, 139, 139]           4,032
       BatchNorm3d-2      [-1, 32, 9, 139, 139]              64
         Dropout3d-3      [-1, 32, 9, 139, 139]               0
            Conv3d-4        [-1, 64, 3, 69, 69]          92,224
       BatchNorm3d-5        [-1, 64, 3, 69, 69]             128
         Dropout3d-6        [-1, 64, 3, 69, 69]               0
            Conv3d-7       [-1, 128, 1, 33, 33]         614,528
       BatchNorm3d-8       [-1, 128, 1, 33, 33]             256
         Dropout3d-9       [-1, 128, 1, 33, 33]               0
           Conv2d-10          [-1, 256, 15, 15]         819,456
      BatchNorm2d-11          [-1, 256, 15, 15]             512
        Dropout2d-12          [-1, 256, 15, 15]               0
           Conv2d-13            [-1, 512, 7, 7]       1,180,160
      BatchNorm2d-14            [-1, 512, 7, 7]           1,024
        Dropout2d-15            [-1, 512, 7, 7]               0
           Conv2d-16            [-1, 512, 3, 3]       2,359,808
      BatchNorm2d-17            [-1, 512, 3, 3]           1,024
        Dropout2d-18            [-1, 512, 3, 3]               0
  ConvTranspose2d-19            [-1, 512, 7, 7]       2,359,808
      BatchNorm2d-20            [-1, 512, 7, 7]           1,024
        Dropout2d-21            [-1, 512, 7, 7]               0
  ConvTranspose2d-22          [-1, 256, 15, 15]       2,359,552
      BatchNorm2d-23          [-1, 256, 15, 15]             512
        Dropout2d-24          [-1, 256, 15, 15]               0
  ConvTranspose2d-25          [-1, 128, 33, 33]       1,638,528
      BatchNorm2d-26          [-1, 128, 33, 33]             256
        Dropout2d-27          [-1, 128, 33, 33]               0
  ConvTranspose3d-28        [-1, 64, 3, 69, 69]       1,228,864
      BatchNorm3d-29        [-1, 64, 3, 69, 69]             128
        Dropout3d-30        [-1, 64, 3, 69, 69]               0
  ConvTranspose3d-31      [-1, 32, 9, 139, 139]         184,352
      BatchNorm3d-32      [-1, 32, 9, 139, 139]              64
        Dropout3d-33      [-1, 32, 9, 139, 139]               0
  ConvTranspose3d-34      [-1, 1, 21, 281, 281]           8,001
      BatchNorm3d-35      [-1, 1, 21, 281, 281]               2
        Dropout3d-36      [-1, 1, 21, 281, 281]               0
           Conv2d-37          [-1, 4, 281, 281]             172
================================================================
Total params: 12,854,479
Trainable params: 12,854,479
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 6.33
Forward/backward pass size (MB): 347.20
Params size (MB): 49.04
Estimated Total Size (MB): 402.56
----------------------------------------------------------------
===================End of Net Architecture =====================

Info: program will use 4 GPUs.
Hints: Test Dice_0 is the dice coeff for all non-zero labels
Hints: Test Dice_1 is for primary cancer(green), test Dice_2 is for metastasis(yellow), and test Dice_3 is for invaded lymph node(brown).
Hints: Test TPR_0 is the TPR for all non-zero labels
Hints: Test TPR_1 is for primary cancer(green), TPR_2 is for metastasis(yellow), and TPR_3 is for invaded lymph node(brown).

Epoch 	 TrainingLoss 	 TestLoss 	 Dice_0	Dice_1	Dice_2	Dice_3 	 TPR_0	TPR_1	TPR_2	TPR_3
580 	 0.0187 	 0.0624 	 0.665	0.665 	 0.958	0.958
581 	 0.0191 	 0.0634 	 0.666	0.666 	 0.957	0.957
582 	 0.0176 	 0.0625 	 0.669	0.669 	 0.957	0.957
583 	 0.0204 	 0.0629 	 0.671	0.671 	 0.955	0.955
584 	 0.0188 	 0.0642 	 0.671	0.671 	 0.954	0.954
585 	 0.0190 	 0.0603 	 0.666	0.666 	 0.959	0.959
586 	 0.0196 	 0.0621 	 0.668	0.668 	 0.959	0.959
587 	 0.0196 	 0.0636 	 0.669	0.669 	 0.957	0.957
588 	 0.0193 	 0.0637 	 0.671	0.671 	 0.956	0.956
589 	 0.0183 	 0.0626 	 0.673	0.673 	 0.958	0.958
590 	 0.0183 	 0.0626 	 0.669	0.669 	 0.958	0.958
591 	 0.0179 	 0.0636 	 0.670	0.670 	 0.956	0.956
592 	 0.0190 	 0.0630 	 0.670	0.670 	 0.956	0.956
593 	 0.0172 	 0.0614 	 0.670	0.670 	 0.957	0.957
594 	 0.0173 	 0.0622 	 0.672	0.672 	 0.957	0.957
595 	 0.0184 	 0.0625 	 0.672	0.672 	 0.958	0.958
596 	 0.0189 	 0.0617 	 0.673	0.673 	 0.957	0.957
597 	 0.0184 	 0.0614 	 0.672	0.672 	 0.958	0.958
598 	 0.0198 	 0.0617 	 0.671	0.671 	 0.958	0.958
599 	 0.0195 	 0.0639 	 0.674	0.674 	 0.955	0.955
600 	 0.0188 	 0.0647 	 0.673	0.673 	 0.955	0.955
601 	 0.0189 	 0.0636 	 0.671	0.671 	 0.956	0.956
602 	 0.0186 	 0.0640 	 0.669	0.669 	 0.956	0.956
603 	 0.0178 	 0.0630 	 0.667	0.667 	 0.958	0.958
604 	 0.0179 	 0.0626 	 0.666	0.666 	 0.959	0.959
605 	 0.0179 	 0.0634 	 0.668	0.668 	 0.958	0.958
606 	 0.0188 	 0.0645 	 0.668	0.668 	 0.958	0.958
607 	 0.0177 	 0.0670 	 0.670	0.670 	 0.955	0.955
608 	 0.0179 	 0.0677 	 0.670	0.670 	 0.954	0.954
609 	 0.0190 	 0.0682 	 0.674	0.674 	 0.951	0.951
610 	 0.0193 	 0.0657 	 0.674	0.674 	 0.954	0.954
611 	 0.0193 	 0.0658 	 0.673	0.673 	 0.955	0.955
612 	 0.0186 	 0.0629 	 0.669	0.669 	 0.959	0.959
613 	 0.0201 	 0.0630 	 0.667	0.667 	 0.959	0.959
614 	 0.0185 	 0.0625 	 0.667	0.667 	 0.958	0.958
615 	 0.0202 	 0.0630 	 0.669	0.669 	 0.956	0.956
616 	 0.0205 	 0.0629 	 0.666	0.666 	 0.958	0.958
617 	 0.0187 	 0.0630 	 0.665	0.665 	 0.958	0.958
618 	 0.0183 	 0.0642 	 0.668	0.668 	 0.955	0.955
619 	 0.0182 	 0.0629 	 0.662	0.662 	 0.957	0.957
620 	 0.0180 	 0.0622 	 0.665	0.665 	 0.957	0.957
621 	 0.0177 	 0.0609 	 0.663	0.663 	 0.960	0.960
622 	 0.0180 	 0.0614 	 0.664	0.664 	 0.957	0.957
623 	 0.0194 	 0.0609 	 0.663	0.663 	 0.959	0.959
624 	 0.0184 	 0.0622 	 0.662	0.662 	 0.957	0.957
625 	 0.0185 	 0.0621 	 0.665	0.665 	 0.958	0.958
626 	 0.0186 	 0.0612 	 0.665	0.665 	 0.958	0.958
627 	 0.0184 	 0.0613 	 0.667	0.667 	 0.958	0.958
628 	 0.0185 	 0.0621 	 0.666	0.666 	 0.957	0.957
629 	 0.0198 	 0.0615 	 0.663	0.663 	 0.958	0.958
630 	 0.0177 	 0.0617 	 0.662	0.662 	 0.960	0.960
631 	 0.0189 	 0.0623 	 0.662	0.662 	 0.960	0.960
632 	 0.0200 	 0.0629 	 0.666	0.666 	 0.956	0.956
633 	 0.0186 	 0.0630 	 0.668	0.668 	 0.955	0.955
634 	 0.0186 	 0.0629 	 0.669	0.669 	 0.954	0.954
635 	 0.0186 	 0.0618 	 0.671	0.671 	 0.956	0.956
636 	 0.0188 	 0.0641 	 0.673	0.673 	 0.952	0.952
637 	 0.0189 	 0.0629 	 0.668	0.668 	 0.955	0.955
638 	 0.0180 	 0.0643 	 0.670	0.670 	 0.956	0.956
639 	 0.0183 	 0.0655 	 0.673	0.673 	 0.955	0.955
640 	 0.0191 	 0.0652 	 0.671	0.671 	 0.954	0.954
641 	 0.0186 	 0.0642 	 0.670	0.670 	 0.955	0.955
642 	 0.0177 	 0.0638 	 0.670	0.670 	 0.956	0.956
643 	 0.0190 	 0.0636 	 0.669	0.669 	 0.957	0.957
644 	 0.0176 	 0.0623 	 0.669	0.669 	 0.957	0.957
645 	 0.0193 	 0.0639 	 0.673	0.673 	 0.953	0.953
646 	 0.0195 	 0.0628 	 0.671	0.671 	 0.954	0.954
647 	 0.0180 	 0.0625 	 0.672	0.672 	 0.955	0.955
648 	 0.0176 	 0.0622 	 0.669	0.669 	 0.956	0.956
649 	 0.0185 	 0.0604 	 0.667	0.667 	 0.960	0.960
650 	 0.0182 	 0.0614 	 0.667	0.667 	 0.957	0.957
651 	 0.0197 	 0.0614 	 0.672	0.672 	 0.956	0.956
652 	 0.0184 	 0.0605 	 0.673	0.673 	 0.955	0.955
653 	 0.0203 	 0.0617 	 0.673	0.673 	 0.955	0.955
654 	 0.0194 	 0.0625 	 0.670	0.670 	 0.954	0.954
655 	 0.0188 	 0.0627 	 0.669	0.669 	 0.955	0.955
656 	 0.0182 	 0.0595 	 0.666	0.666 	 0.959	0.959
657 	 0.0179 	 0.0589 	 0.664	0.664 	 0.960	0.960
658 	 0.0183 	 0.0598 	 0.665	0.665 	 0.958	0.958
659 	 0.0181 	 0.0631 	 0.665	0.665 	 0.955	0.955
660 	 0.0191 	 0.0621 	 0.665	0.665 	 0.958	0.958
661 	 0.0173 	 0.0623 	 0.664	0.664 	 0.957	0.957
662 	 0.0189 	 0.0634 	 0.669	0.669 	 0.953	0.953
663 	 0.0196 	 0.0645 	 0.671	0.671 	 0.953	0.953
664 	 0.0186 	 0.0633 	 0.668	0.668 	 0.955	0.955
665 	 0.0180 	 0.0636 	 0.672	0.672 	 0.954	0.954
666 	 0.0176 	 0.0643 	 0.674	0.674 	 0.954	0.954
667 	 0.0183 	 0.0657 	 0.674	0.674 	 0.951	0.951
668 	 0.0186 	 0.0686 	 0.678	0.678 	 0.948	0.948
669 	 0.0174 	 0.0647 	 0.673	0.673 	 0.952	0.952
670 	 0.0173 	 0.0635 	 0.672	0.672 	 0.952	0.952
671 	 0.0193 	 0.0635 	 0.674	0.674 	 0.953	0.953
672 	 0.0177 	 0.0647 	 0.676	0.676 	 0.952	0.952
673 	 0.0200 	 0.0641 	 0.674	0.674 	 0.952	0.952
674 	 0.0174 	 0.0642 	 0.678	0.678 	 0.951	0.951
675 	 0.0186 	 0.0662 	 0.678	0.678 	 0.951	0.951
676 	 0.0185 	 0.0638 	 0.677	0.677 	 0.952	0.952
677 	 0.0195 	 0.0630 	 0.678	0.678 	 0.952	0.952
678 	 0.0182 	 0.0619 	 0.677	0.677 	 0.955	0.955
679 	 0.0180 	 0.0608 	 0.675	0.675 	 0.958	0.958
680 	 0.0190 	 0.0623 	 0.674	0.674 	 0.957	0.957
681 	 0.0184 	 0.0631 	 0.676	0.676 	 0.955	0.955
682 	 0.0182 	 0.0632 	 0.677	0.677 	 0.952	0.952
683 	 0.0202 	 0.0645 	 0.679	0.679 	 0.952	0.952
684 	 0.0179 	 0.0649 	 0.680	0.680 	 0.950	0.950
685 	 0.0186 	 0.0651 	 0.677	0.677 	 0.950	0.950
686 	 0.0187 	 0.0637 	 0.677	0.677 	 0.952	0.952
687 	 0.0197 	 0.0631 	 0.673	0.673 	 0.954	0.954
688 	 0.0191 	 0.0625 	 0.674	0.674 	 0.954	0.954
689 	 0.0173 	 0.0633 	 0.675	0.675 	 0.953	0.953
690 	 0.0182 	 0.0627 	 0.674	0.674 	 0.954	0.954
691 	 0.0171 	 0.0637 	 0.673	0.673 	 0.953	0.953
692 	 0.0176 	 0.0641 	 0.671	0.671 	 0.953	0.953
693 	 0.0188 	 0.0638 	 0.669	0.669 	 0.954	0.954
694 	 0.0192 	 0.0640 	 0.670	0.670 	 0.952	0.952
695 	 0.0180 	 0.0640 	 0.670	0.670 	 0.952	0.952
696 	 0.0184 	 0.0653 	 0.670	0.670 	 0.951	0.951
697 	 0.0193 	 0.0637 	 0.669	0.669 	 0.953	0.953
698 	 0.0195 	 0.0636 	 0.668	0.668 	 0.953	0.953
699 	 0.0176 	 0.0605 	 0.666	0.666 	 0.957	0.957
700 	 0.0171 	 0.0597 	 0.666	0.666 	 0.956	0.956
701 	 0.0196 	 0.0606 	 0.669	0.669 	 0.954	0.954
702 	 0.0192 	 0.0607 	 0.667	0.667 	 0.954	0.954
703 	 0.0174 	 0.0597 	 0.667	0.667 	 0.957	0.957
704 	 0.0177 	 0.0605 	 0.670	0.670 	 0.956	0.956
705 	 0.0191 	 0.0615 	 0.671	0.671 	 0.955	0.955
706 	 0.0186 	 0.0612 	 0.671	0.671 	 0.956	0.956
707 	 0.0182 	 0.0611 	 0.669	0.669 	 0.957	0.957
708 	 0.0195 	 0.0636 	 0.671	0.671 	 0.953	0.953
709 	 0.0204 	 0.0640 	 0.671	0.671 	 0.953	0.953
710 	 0.0185 	 0.0635 	 0.669	0.669 	 0.955	0.955
711 	 0.0191 	 0.0626 	 0.667	0.667 	 0.956	0.956
712 	 0.0175 	 0.0634 	 0.669	0.669 	 0.956	0.956
713 	 0.0206 	 0.0644 	 0.671	0.671 	 0.953	0.953
714 	 0.0192 	 0.0633 	 0.670	0.670 	 0.955	0.955
715 	 0.0191 	 0.0651 	 0.673	0.673 	 0.954	0.954
716 	 0.0190 	 0.0658 	 0.673	0.673 	 0.952	0.952
717 	 0.0173 	 0.0657 	 0.674	0.674 	 0.952	0.952
718 	 0.0182 	 0.0637 	 0.670	0.670 	 0.956	0.956
719 	 0.0179 	 0.0637 	 0.670	0.670 	 0.955	0.955
720 	 0.0177 	 0.0638 	 0.672	0.672 	 0.954	0.954
721 	 0.0185 	 0.0632 	 0.667	0.667 	 0.954	0.954
722 	 0.0207 	 0.0630 	 0.667	0.667 	 0.954	0.954
723 	 0.0199 	 0.0624 	 0.669	0.669 	 0.954	0.954
724 	 0.0179 	 0.0621 	 0.668	0.668 	 0.956	0.956
725 	 0.0185 	 0.0620 	 0.672	0.672 	 0.955	0.955
726 	 0.0191 	 0.0632 	 0.673	0.673 	 0.955	0.955
727 	 0.0209 	 0.0634 	 0.674	0.674 	 0.954	0.954
728 	 0.0182 	 0.0645 	 0.672	0.672 	 0.953	0.953
729 	 0.0178 	 0.0655 	 0.676	0.676 	 0.952	0.952
730 	 0.0199 	 0.0654 	 0.673	0.673 	 0.953	0.953
731 	 0.0180 	 0.0634 	 0.670	0.670 	 0.957	0.957
732 	 0.0191 	 0.0635 	 0.670	0.670 	 0.957	0.957
733 	 0.0181 	 0.0635 	 0.668	0.668 	 0.956	0.956
734 	 0.0180 	 0.0635 	 0.668	0.668 	 0.956	0.956
735 	 0.0179 	 0.0645 	 0.670	0.670 	 0.953	0.953
736 	 0.0177 	 0.0651 	 0.668	0.668 	 0.953	0.953
737 	 0.0203 	 0.0645 	 0.666	0.666 	 0.954	0.954
738 	 0.0207 	 0.0641 	 0.669	0.669 	 0.955	0.955
739 	 0.0175 	 0.0644 	 0.669	0.669 	 0.955	0.955
740 	 0.0175 	 0.0633 	 0.669	0.669 	 0.957	0.957
741 	 0.0184 	 0.0623 	 0.667	0.667 	 0.957	0.957
742 	 0.0170 	 0.0613 	 0.665	0.665 	 0.959	0.959
743 	 0.0194 	 0.0610 	 0.667	0.667 	 0.958	0.958
744 	 0.0176 	 0.0611 	 0.665	0.665 	 0.958	0.958
745 	 0.0174 	 0.0617 	 0.668	0.668 	 0.957	0.957
746 	 0.0190 	 0.0607 	 0.669	0.669 	 0.955	0.955
747 	 0.0179 	 0.0610 	 0.670	0.670 	 0.956	0.956
748 	 0.0187 	 0.0603 	 0.669	0.669 	 0.957	0.957
749 	 0.0183 	 0.0616 	 0.668	0.668 	 0.956	0.956
750 	 0.0182 	 0.0614 	 0.670	0.670 	 0.957	0.957
751 	 0.0181 	 0.0614 	 0.668	0.668 	 0.958	0.958
752 	 0.0175 	 0.0602 	 0.665	0.665 	 0.960	0.960
753 	 0.0179 	 0.0616 	 0.668	0.668 	 0.956	0.956
754 	 0.0189 	 0.0624 	 0.669	0.669 	 0.957	0.957
755 	 0.0183 	 0.0622 	 0.666	0.666 	 0.957	0.957
756 	 0.0186 	 0.0632 	 0.664	0.664 	 0.957	0.957
757 	 0.0191 	 0.0620 	 0.666	0.666 	 0.956	0.956
758 	 0.0186 	 0.0632 	 0.669	0.669 	 0.955	0.955
759 	 0.0186 	 0.0634 	 0.672	0.672 	 0.954	0.954
760 	 0.0189 	 0.0637 	 0.671	0.671 	 0.953	0.953
761 	 0.0202 	 0.0617 	 0.670	0.670 	 0.955	0.955
762 	 0.0180 	 0.0605 	 0.670	0.670 	 0.956	0.956
763 	 0.0175 	 0.0611 	 0.670	0.670 	 0.956	0.956
764 	 0.0188 	 0.0602 	 0.669	0.669 	 0.958	0.958
765 	 0.0182 	 0.0611 	 0.672	0.672 	 0.955	0.955
766 	 0.0203 	 0.0627 	 0.673	0.673 	 0.954	0.954
767 	 0.0190 	 0.0632 	 0.670	0.670 	 0.955	0.955
768 	 0.0185 	 0.0630 	 0.670	0.670 	 0.956	0.956
769 	 0.0170 	 0.0616 	 0.670	0.670 	 0.956	0.956
770 	 0.0179 	 0.0619 	 0.671	0.671 	 0.956	0.956
771 	 0.0172 	 0.0618 	 0.668	0.668 	 0.956	0.956
772 	 0.0174 	 0.0615 	 0.670	0.670 	 0.955	0.955
773 	 0.0191 	 0.0625 	 0.673	0.673 	 0.954	0.954
774 	 0.0172 	 0.0612 	 0.670	0.670 	 0.956	0.956
775 	 0.0204 	 0.0620 	 0.668	0.668 	 0.956	0.956
776 	 0.0185 	 0.0640 	 0.670	0.670 	 0.954	0.954
777 	 0.0183 	 0.0629 	 0.668	0.668 	 0.956	0.956
778 	 0.0186 	 0.0626 	 0.669	0.669 	 0.957	0.957
779 	 0.0176 	 0.0615 	 0.670	0.670 	 0.957	0.957
780 	 0.0186 	 0.0604 	 0.666	0.666 	 0.959	0.959
781 	 0.0185 	 0.0610 	 0.668	0.668 	 0.958	0.958
782 	 0.0189 	 0.0622 	 0.670	0.670 	 0.956	0.956
783 	 0.0190 	 0.0617 	 0.669	0.669 	 0.957	0.957
784 	 0.0186 	 0.0631 	 0.671	0.671 	 0.957	0.957
785 	 0.0174 	 0.0620 	 0.668	0.668 	 0.958	0.958
786 	 0.0177 	 0.0615 	 0.669	0.669 	 0.957	0.957
787 	 0.0194 	 0.0599 	 0.667	0.667 	 0.958	0.958
788 	 0.0181 	 0.0607 	 0.669	0.669 	 0.957	0.957
789 	 0.0184 	 0.0622 	 0.672	0.672 	 0.956	0.956
790 	 0.0183 	 0.0614 	 0.672	0.672 	 0.957	0.957
791 	 0.0186 	 0.0635 	 0.673	0.673 	 0.954	0.954
792 	 0.0187 	 0.0635 	 0.673	0.673 	 0.955	0.955
793 	 0.0189 	 0.0631 	 0.673	0.673 	 0.955	0.955
794 	 0.0191 	 0.0638 	 0.677	0.677 	 0.953	0.953
795 	 0.0172 	 0.0633 	 0.676	0.676 	 0.953	0.953
796 	 0.0209 	 0.0646 	 0.676	0.676 	 0.951	0.951
797 	 0.0196 	 0.0629 	 0.672	0.672 	 0.954	0.954
798 	 0.0176 	 0.0649 	 0.672	0.672 	 0.951	0.951
799 	 0.0176 	 0.0646 	 0.671	0.671 	 0.952	0.952
800 	 0.0191 	 0.0631 	 0.669	0.669 	 0.954	0.954
801 	 0.0190 	 0.0619 	 0.670	0.670 	 0.956	0.956
802 	 0.0171 	 0.0618 	 0.673	0.673 	 0.955	0.955
803 	 0.0193 	 0.0607 	 0.671	0.671 	 0.956	0.956
804 	 0.0189 	 0.0615 	 0.669	0.669 	 0.956	0.956
805 	 0.0204 	 0.0611 	 0.666	0.666 	 0.957	0.957
806 	 0.0183 	 0.0606 	 0.669	0.669 	 0.957	0.957
807 	 0.0190 	 0.0613 	 0.670	0.670 	 0.957	0.957
808 	 0.0179 	 0.0623 	 0.671	0.671 	 0.955	0.955
809 	 0.0179 	 0.0618 	 0.672	0.672 	 0.956	0.956
810 	 0.0179 	 0.0606 	 0.674	0.674 	 0.956	0.956
811 	 0.0176 	 0.0629 	 0.674	0.674 	 0.953	0.953
812 	 0.0198 	 0.0608 	 0.672	0.672 	 0.955	0.955
813 	 0.0190 	 0.0627 	 0.674	0.674 	 0.953	0.953
814 	 0.0183 	 0.0618 	 0.673	0.673 	 0.956	0.956
815 	 0.0184 	 0.0615 	 0.673	0.673 	 0.956	0.956
816 	 0.0186 	 0.0622 	 0.672	0.672 	 0.957	0.957
817 	 0.0187 	 0.0608 	 0.670	0.670 	 0.958	0.958
818 	 0.0198 	 0.0606 	 0.669	0.669 	 0.960	0.960
819 	 0.0192 	 0.0601 	 0.671	0.671 	 0.960	0.960
820 	 0.0175 	 0.0612 	 0.670	0.670 	 0.959	0.959
821 	 0.0182 	 0.0620 	 0.668	0.668 	 0.958	0.958
822 	 0.0178 	 0.0608 	 0.666	0.666 	 0.961	0.961
823 	 0.0186 	 0.0611 	 0.669	0.669 	 0.960	0.960
824 	 0.0169 	 0.0603 	 0.668	0.668 	 0.960	0.960
825 	 0.0192 	 0.0624 	 0.667	0.667 	 0.958	0.958
826 	 0.0175 	 0.0605 	 0.668	0.668 	 0.960	0.960
827 	 0.0181 	 0.0607 	 0.669	0.669 	 0.958	0.958
828 	 0.0187 	 0.0606 	 0.670	0.670 	 0.956	0.956
829 	 0.0191 	 0.0610 	 0.670	0.670 	 0.957	0.957
830 	 0.0179 	 0.0613 	 0.672	0.672 	 0.956	0.956
831 	 0.0179 	 0.0628 	 0.672	0.672 	 0.954	0.954
832 	 0.0173 	 0.0637 	 0.672	0.672 	 0.954	0.954
833 	 0.0200 	 0.0647 	 0.671	0.671 	 0.953	0.953
834 	 0.0190 	 0.0632 	 0.670	0.670 	 0.954	0.954
835 	 0.0191 	 0.0623 	 0.667	0.667 	 0.956	0.956
836 	 0.0179 	 0.0624 	 0.666	0.666 	 0.956	0.956
837 	 0.0171 	 0.0618 	 0.667	0.667 	 0.956	0.956
838 	 0.0179 	 0.0620 	 0.669	0.669 	 0.956	0.956
839 	 0.0179 	 0.0617 	 0.670	0.670 	 0.957	0.957
840 	 0.0186 	 0.0658 	 0.675	0.675 	 0.951	0.951
841 	 0.0169 	 0.0644 	 0.676	0.676 	 0.953	0.953
842 	 0.0188 	 0.0638 	 0.670	0.670 	 0.955	0.955
843 	 0.0191 	 0.0635 	 0.672	0.672 	 0.955	0.955
844 	 0.0195 	 0.0646 	 0.676	0.676 	 0.954	0.954
845 	 0.0191 	 0.0643 	 0.678	0.678 	 0.953	0.953
846 	 0.0183 	 0.0633 	 0.676	0.676 	 0.954	0.954
847 	 0.0191 	 0.0625 	 0.675	0.675 	 0.954	0.954
848 	 0.0187 	 0.0632 	 0.674	0.674 	 0.953	0.953
849 	 0.0177 	 0.0631 	 0.675	0.675 	 0.953	0.953
850 	 0.0186 	 0.0630 	 0.675	0.675 	 0.953	0.953
851 	 0.0180 	 0.0602 	 0.669	0.669 	 0.957	0.957
852 	 0.0197 	 0.0602 	 0.665	0.665 	 0.958	0.958
853 	 0.0220 	 0.0610 	 0.669	0.669 	 0.958	0.958
854 	 0.0171 	 0.0617 	 0.668	0.668 	 0.958	0.958
855 	 0.0196 	 0.0618 	 0.668	0.668 	 0.957	0.957
856 	 0.0189 	 0.0620 	 0.671	0.671 	 0.958	0.958
857 	 0.0185 	 0.0628 	 0.673	0.673 	 0.956	0.956
858 	 0.0176 	 0.0647 	 0.675	0.675 	 0.953	0.953
859 	 0.0177 	 0.0625 	 0.672	0.672 	 0.956	0.956
860 	 0.0188 	 0.0617 	 0.675	0.675 	 0.955	0.955
861 	 0.0197 	 0.0637 	 0.679	0.679 	 0.953	0.953
862 	 0.0187 	 0.0623 	 0.673	0.673 	 0.956	0.956
863 	 0.0184 	 0.0630 	 0.671	0.671 	 0.956	0.956
864 	 0.0180 	 0.0638 	 0.675	0.675 	 0.953	0.953
865 	 0.0199 	 0.0651 	 0.678	0.678 	 0.950	0.950
866 	 0.0183 	 0.0628 	 0.675	0.675 	 0.954	0.954
867 	 0.0191 	 0.0639 	 0.674	0.674 	 0.953	0.953
868 	 0.0207 	 0.0642 	 0.675	0.675 	 0.953	0.953
869 	 0.0205 	 0.0657 	 0.676	0.676 	 0.950	0.950
870 	 0.0178 	 0.0632 	 0.675	0.675 	 0.952	0.952
871 	 0.0175 	 0.0602 	 0.671	0.671 	 0.956	0.956
872 	 0.0190 	 0.0619 	 0.670	0.670 	 0.954	0.954
873 	 0.0194 	 0.0617 	 0.670	0.670 	 0.956	0.956
874 	 0.0200 	 0.0604 	 0.668	0.668 	 0.957	0.957
875 	 0.0172 	 0.0621 	 0.672	0.672 	 0.955	0.955
876 	 0.0187 	 0.0610 	 0.670	0.670 	 0.958	0.958
877 	 0.0192 	 0.0621 	 0.674	0.674 	 0.956	0.956
878 	 0.0172 	 0.0623 	 0.674	0.674 	 0.956	0.956
879 	 0.0181 	 0.0642 	 0.671	0.671 	 0.954	0.954
880 	 0.0174 	 0.0629 	 0.674	0.674 	 0.956	0.956
881 	 0.0175 	 0.0622 	 0.671	0.671 	 0.958	0.958
882 	 0.0207 	 0.0609 	 0.669	0.669 	 0.959	0.959
883 	 0.0182 	 0.0610 	 0.669	0.669 	 0.958	0.958
884 	 0.0174 	 0.0626 	 0.668	0.668 	 0.957	0.957
885 	 0.0179 	 0.0635 	 0.670	0.670 	 0.956	0.956
886 	 0.0185 	 0.0609 	 0.668	0.668 	 0.957	0.957
887 	 0.0186 	 0.0591 	 0.665	0.665 	 0.959	0.959
888 	 0.0182 	 0.0597 	 0.665	0.665 	 0.958	0.958
889 	 0.0174 	 0.0609 	 0.667	0.667 	 0.958	0.958
890 	 0.0190 	 0.0614 	 0.668	0.668 	 0.958	0.958
891 	 0.0191 	 0.0610 	 0.667	0.667 	 0.959	0.959
892 	 0.0189 	 0.0619 	 0.665	0.665 	 0.957	0.957
893 	 0.0189 	 0.0634 	 0.668	0.668 	 0.956	0.956
894 	 0.0180 	 0.0656 	 0.668	0.668 	 0.953	0.953
895 	 0.0190 	 0.0654 	 0.674	0.674 	 0.952	0.952
896 	 0.0203 	 0.0643 	 0.672	0.672 	 0.953	0.953
897 	 0.0198 	 0.0637 	 0.671	0.671 	 0.955	0.955
898 	 0.0199 	 0.0624 	 0.669	0.669 	 0.956	0.956
899 	 0.0180 	 0.0642 	 0.672	0.672 	 0.954	0.954
900 	 0.0179 	 0.0631 	 0.672	0.672 	 0.953	0.953
901 	 0.0175 	 0.0624 	 0.668	0.668 	 0.957	0.957
902 	 0.0181 	 0.0635 	 0.671	0.671 	 0.956	0.956
903 	 0.0212 	 0.0624 	 0.669	0.669 	 0.956	0.956
904 	 0.0195 	 0.0624 	 0.669	0.669 	 0.955	0.955
905 	 0.0178 	 0.0635 	 0.673	0.673 	 0.952	0.952


After adding the number of first layer to 96, the metastases network:

(base) [c-xwu000:OvarianCancer]#/home/hxie1/anaconda3/bin/python  /home/hxie1/Projects/OvarianCancer/TrainSegV.py /home/hxie1/temp_netParameters/OvarianCancer/Label0_2  /home/hxie1/data/OvarianCancerCT/Extract_uniform/trainImages /home/hxie1/data/OvarianCancerCT/Extract_uniform/trainLabels 2D 0,2

Program starting Time:  2019-04-22 12:58:49.653360
